Ticker,Price,Price_Date,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
BKNG,209.87,2026-08-20,USD,1.0,28241000000.0,7209000000.0,9.096601708215365,9.096601708215365,9999000000.0,29264000000.0,-5578000000.0,19293000000.0,17203000000.0,9741000000.0,9291000000.0,2082000000.0,792493750.0,,34.49240465989165,25.526716476045465,35.405970043553694,2026,2026-06-30,USD,False,-1.2923987092147724,0.2463436303991252,-2.1669038067321735,23.071253060410598,17.748165541486458,,16.84,5.96,-3.458766583004661,1.3333333333333333,5566000000.0,roe=-1.29 out_of_range (buyback_distortion?)
CAKE,106.53,2026-08-20,USD,1.0,3877250000.0,178616000.0,3.8321184717953667,3.8321184717953667,317333000.0,3261672000.0,436427000.0,2129835000.0,215729000.0,270753000.0,196437000.0,17821000.0,46610250.0,43.550609323618545,6.983119479012187,4.606770262428268,8.184486427235798,2026,2026-06-30,USD,False,0.409268904077887,0.05476209747638634,0.1047379311154788,27.799244930465356,23.799350244723943,11.38,21.68,1.77,4.880163234630305,0.5853559344719702,-322183000.0,
CELH,32.54,2026-08-20,USD,1.0,3047274000.0,129117000.0,0.2885233628894932,0.2885233628894932,197273000.0,5119621000.0,2941442000.0,669926000.0,398866000.0,573062000.0,141641000.0,12524000.0,250503111.0,48.760433095284505,18.805726035794613,4.237131285207697,6.473753262752218,2026,2026-06-30,USD,False,0.04389581708563351,0.02522003093588373,0.16261202082514142,112.78116154657148,196.73878776936127,2.77,42.69,2.76,0.22775427834375112,1.6789750131173253,732428000.0,
COIN,172.35,2026-08-20,USD,1.0,6282872000.0,-987766000.0,-3.7299348145211155,-3.7299348145211155,872979000.0,29671832000.0,14793058000.0,7831459000.0,11914066000.0,733695000.0,-1244280000.0,-256514000.0,264821250.0,72.74477340935802,11.677700898569954,-15.721568098156386,13.894585151503962,2026,2026-06-30,USD,False,-0.06677226574789337,-0.03328968700011513,0.054380569753143336,,,3.09,47.61,6.61,0.5294009527982653,2.3431541467107952,11687163000.0,eps_negative (loss)
CROX,123.09,2026-08-20,USD,1.0,4054866000.0,593424000.0,11.613335029403995,11.613335029403995,922136000.0,4174750000.0,1293283000.0,1613849000.0,130354000.0,840579000.0,759413000.0,165989000.0,51098500.0,57.469765955274475,20.730130169529644,14.634860930052929,22.74146667238819,2026,2026-06-30,USD,False,0.45885084703038703,0.14214599676627343,0.2365508186499866,10.599022562282617,14.602170545475904,4.86,8.43,1.92,1.2478699557637423,1.2653139635695707,185754000.0,
DLO,14.34,2026-08-20,USD,1.0,1212690000.0,192146000.0,0.6580721071313828,0.6580721071313828,255530000.0,1540964000.0,569429000.0,90283000.0,548099000.0,229425000.0,233270000.0,41099000.0,291983200.0,35.99938978634276,18.918684907107338,15.844609916796543,21.071337274983716,2026,2026-03-31,USD,False,0.3374362738813794,0.12469207586939085,1.6933819239946415,21.79092510471204,13.748882156527806,7.35,14.59,3.08,0.15855005628445337,1.4708999803294303,454847000.0,roic=1.69 high (cash_heavy?)
DOCU,62.28,2026-08-20,USD,1.0,3286081000.0,315195000.0,1.5748647203721375,1.5748647203721375,467553000.0,4229550000.0,1917820000.0,185119000.0,866526000.0,349633000.0,391294000.0,76099000.0,200141000.0,79.39603436433855,10.639816851745286,9.59182077374234,14.228285912611405,2027,2026-04-30,USD,False,0.16435066898874764,0.07452211228144838,0.22778492825003235,39.54625384285919,,6.5,25.2,3.59,0.09652574277043727,0.7310150788856374,-548570000.0,
DPZ,334.37,2026-08-20,USD,1.0,,,0.0,0.0,,1716459000.0,-3901142000.0,5048284000.0,125675000.0,,,129073000.0,33382032.0,,,,,2026,2026-06-30,USD,False,-0.0,0.0,0.0,,,,,,-1.294052869646888,1.6509718050075606,352580000.0,eps_negative (loss)
DUOL,147.03,2026-08-20,USD,1.0,1145002000.0,410767000.0,8.830916236555781,8.830916236555781,172884000.0,1992182000.0,1347006000.0,93779000.0,1140467000.0,157085000.0,201868000.0,-208899000.0,46514652.0,72.71742756781211,13.719190010148456,35.874784498193016,15.099012927488337,2026,2026-06-30,USD,False,0.3049481591024836,0.2061894947349188,1.0643425367839292,16.649461512426754,3.716261562332784,5.08,33.5,5.06,0.06962032834300663,2.6065702860211775,885458000.0,roic=1.06 high (cash_heavy?)
EXPE,324.17,2026-08-20,USD,1.0,15700000000.0,2036000000.0,16.67171622053176,16.67171622053176,3408000000.0,24452000000.0,2547000000.0,6415000000.0,5733000000.0,2738000000.0,2437000000.0,398000000.0,122123000.0,90.43312101910828,17.439490445859875,12.968152866242038,21.70700636942675,2026,2026-06-30,USD,False,0.7993718099725167,0.0832651725830198,0.7094586617762981,19.444308894891943,10.950305749480009,15.54,11.82,2.57,2.5186493914409107,0.7323647715675091,-4458000000.0,
