date,open,high,low,close,volume
2006-10-05,134.92,135.41,134.75,135.17999,60505900
2006-10-06,134.95,135.10001,134.39999,135.0099945,64983600
2006-10-09,134.85001,135.3,134.64,135.089996,41176800
2006-10-10,135.10001,135.45,134.84,135.27,56403700
2006-10-11,134.84,135.42999,134.3,135.11,104071800
2006-10-12,135.45,136.39,135.39999,136.28,59158600
2006-10-13,136.16,136.71001,136.039993,136.63,53944000
2006-10-16,136.52,137.050003,136.42,136.84,42273000
2006-10-17,136.47,136.7,135.67,136.41,90500600
2006-10-18,137.039993,137.37,136.10001,136.59,86848600
2006-10-19,136.39,136.88,136.23,136.81,64063200
2006-10-20,136.84,136.95,136.33,136.84,48094500
2006-10-23,136.56,137.8,136.39,137.47,66219900
2006-10-24,137.28,137.92999,137.22,137.88,53234900
2006-10-25,137.74001,138.41,137.50999,138.35001,78105400
2006-10-26,138.66,139.0,137.98,138.78,66843700
2006-10-27,138.61,138.75,137.63,137.91,80238000
2006-10-30,137.66,138.2,137.39999,137.81,49717800
2006-10-31,138.070007,138.25999,137.25,137.78999,71274100
2006-11-01,138.22,138.31,136.72,136.86,83005600
2006-11-02,136.50999,137.0099945,136.36,136.78,60693100
2006-11-03,137.27,137.39,135.62,136.53999,71346400
2006-11-06,136.96001,138.28,136.95,138.080002,63303300
2006-11-07,138.2,138.98,138.0,138.61,63318900
2006-11-08,138.0,139.050003,136.86,138.91,87517800
2006-11-09,139.0099945,139.14,137.89999,138.17999,95916300
2006-11-10,138.14,138.34,137.72,138.24001,48991500
2006-11-13,138.17999,139.039993,138.070007,138.58,59398200
2006-11-14,138.97,139.74001,138.12,139.62,96704000
2006-11-15,139.57001,140.45,139.53,140.020004,76509600
2006-11-16,140.44,140.67999,139.49001,140.38,76728800
2006-11-17,139.92999,140.42999,139.73,140.42,56353800
2006-11-20,140.3,140.74001,139.94,140.5,69174200
2006-11-21,140.49001,140.67,140.28999,140.64,51367900
2006-11-22,140.75,141.16,140.5,140.92,45505300
2006-11-24,140.24001,140.84,140.2,140.35001,30998000
2006-11-27,140.28,140.35001,138.38,138.42,84545100
2006-11-28,138.24001,139.16,138.11,139.020004,106652900
2006-11-29,139.47,140.53,139.080002,140.47,90034900
2006-11-30,140.44,141.050003,139.75999,140.53,83994300
2006-12-01,140.53,140.66,138.97,140.22,126080000
2006-12-04,140.25,141.55,140.23,141.28999,87813200
2006-12-05,141.56,141.96001,141.25999,141.89999,73374400
2006-12-06,141.87,142.070007,141.5,141.78,53253200
2006-12-07,142.029999,142.3,141.11,141.16,62857400
2006-12-08,141.13,141.89999,140.78,141.42,79625500
2006-12-11,141.42,142.089996,141.34,141.83,39779400
2006-12-12,141.69,141.87,140.89,141.72,77451600
2006-12-13,142.23,142.34,141.56,141.87,55520200
2006-12-14,141.86,143.24001,141.84,143.12,64755200
2006-12-15,142.64,142.89,142.24001,142.34,70857400
2006-12-18,142.53999,142.88,141.75,141.95,48954600
2006-12-19,141.55,142.56,141.19,142.22,65023600
2006-12-20,142.28,142.66,142.0099945,142.14,41469600
2006-12-21,142.27,142.42999,141.32001,141.62,48698400
2006-12-22,141.64,141.64999,140.67,140.75,62069100
2006-12-26,140.81,141.61,140.78,141.58,32696900
2006-12-27,141.87,142.60001,141.83,142.50999,39727100
2006-12-28,142.41,142.7,141.99001,142.21001,37288800
2006-12-29,142.059998,142.53999,141.42999,141.62,45461200
2007-01-03,142.25,142.86,140.57001,141.37,94807600
2007-01-04,141.23,142.050003,140.61,141.67,69620600
2007-01-05,141.33,141.39999,140.38,140.53999,76645300
2007-01-08,140.82001,141.41,140.25,141.19,71655000
2007-01-09,141.31,141.60001,140.39999,141.070007,75680100
2007-01-10,140.58,141.57001,140.3,141.53999,72428000
2007-01-11,141.58,142.62,141.5,142.16,54476800
2007-01-12,142.14999,143.24001,142.11,143.24001,55370600
2007-01-16,143.070007,143.44,142.73,142.96001,44871300
2007-01-17,142.85001,143.46001,142.73,143.020004,50241400
2007-01-18,143.17,143.25999,142.31,142.53999,68177300
2007-01-19,142.53999,143.10001,142.46001,142.82001,56973000
2007-01-22,143.070007,143.10001,141.92999,142.38,60253600
2007-01-23,142.25999,143.080002,142.059998,142.8,54064400
2007-01-24,142.97,143.98,142.91,143.95,55834700
2007-01-25,143.86,143.92,142.0099945,142.25999,73583800
2007-01-26,142.57001,142.64999,141.58,142.13,67255600
2007-01-29,142.19,142.8,141.74001,142.050003,66114600
2007-01-30,142.35001,142.86,142.059998,142.78999,70407600
2007-01-31,142.63,144.13,142.39999,143.75,91868600
2007-02-01,144.14999,144.66,143.91,144.61,69312400
2007-02-02,144.73,144.95,144.38,144.81,49607000
2007-02-05,144.7,144.94,144.34,144.85001,45705300
2007-02-06,144.97,145.029999,144.33,144.89,57081300
2007-02-07,145.12,145.36,144.57001,145.21001,55669700
2007-02-08,144.78,145.12,144.27,145.020004,70641000
2007-02-09,145.059998,145.33,143.39,143.94,79084400
2007-02-12,143.94,144.039993,143.19,143.45,65657000
2007-02-13,143.77,144.89999,143.75999,144.66,64081800
2007-02-14,144.8,145.89999,144.78,145.61,66039400
2007-02-15,145.67,145.95,145.42999,145.8,38715200
2007-02-16,145.44,145.75999,145.23,145.73,39841800
2007-02-20,145.56,146.2,145.0,146.039993,56911800
2007-02-21,145.61,146.070007,145.35001,145.98,63971600
2007-02-22,146.050003,146.42,145.17,145.87,79067400
2007-02-23,145.74001,145.78999,145.029999,145.3,71966200
2007-02-26,145.83,145.95,144.75,145.17,69192800
2007-02-27,143.88,144.2,139.0,139.5,274466500
2007-02-28,140.39,141.98,139.8,140.92999,177536300
2007-03-01,139.34,141.25,138.050003,140.50999,212828600
2007-03-02,140.050003,140.66,138.66,138.67,162574000
2007-03-05,137.92999,139.58,137.33,137.35001,143750400
2007-03-06,138.78,140.12,137.72,139.7,143333300
2007-03-07,139.59,140.46001,139.39999,139.56,115144900
2007-03-08,140.53999,141.16,140.070007,140.74001,117891600
2007-03-09,141.31,141.42,140.080002,140.78,107765100
2007-03-12,140.42,141.34,140.16,140.99001,80366900
2007-03-13,140.17999,140.77,138.039993,138.25,190605200
2007-03-14,138.42999,139.36,136.75,139.28,231853800
2007-03-15,138.97,139.99001,138.8,139.47,132435900
