Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,VWAP,ADX_14,Plus_DI,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Ichimoku_Chikou,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,fib_236,fib_382,fib_500,fib_618,fib_786,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Cuerpo,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,Distance_to_BUY_ZONE_pct,Swing_High_20,Distancia_EMA_20,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Current_PE,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,ROIC,ROE,Net_Margin
2026-07-22,172.25,174.958,153.8,158.29,17891267,,,,158.29,158.29,158.29,158.29,,0.0,0.0,0.0,False,,163.2637,,4.0691,167.035,,,,,171.08,176.05,179.75,184.72,167.38,162.41,158.71,166.3619,161.1541,156.945,152.7359,146.7434,,,,,,,,,13.96,2.708,4.49,,,0.0,,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-07-27,163.32,168.17,139.11,146.26,40565758,,,,157.1443,157.8182,158.0518,158.1703,,-0.9597,-0.1919,-0.7677,False,,161.1591,,3.4826,160.3,,,,,171.08,176.05,179.75,184.72,167.38,162.41,158.71,166.3619,161.1541,156.945,152.7359,146.7434,,,,,,,,,17.06,4.85,7.15,,,-6.9263,,,,-10.8843,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,
2026-08-03,144.145,155.3999,141.03,153.6,37783362,,,,156.8067,157.6528,157.9636,158.1248,,-1.1151,-0.3766,-0.7385,True,,158.8564,,4.059,153.64,160.3,,,,171.08,176.05,179.75,184.72,167.38,162.41,158.71,166.3619,161.1541,156.945,152.7359,146.7434,,,,,,,,,9.455,1.7999,3.115,,,-2.045,,,,-3.2067,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-10,153.345,154.42,146.32,148.47,33139069,,,,156.0128,157.2927,157.7756,158.0288,,-1.6333,-0.6279,-1.0054,False,,157.5936,21.7356,4.0771,150.27,160.3,,,,171.08,176.05,179.75,184.72,167.38,162.41,158.71,166.3619,161.1541,156.945,152.7359,146.7434,,,,,,,,,4.875,1.075,2.15,,,-4.8347,,,,-7.5428,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
2026-08-17,148.355,174.78,146.02,172.35,46842017,,,,157.5687,157.8832,158.0642,158.1713,,-0.1158,-0.5255,0.4097,True,,158.0604,29.3232,5.2537,160.4,160.3,,,,171.08,176.05,179.75,184.72,167.38,162.41,158.71,166.3619,161.1541,156.945,152.7359,146.7434,,,,,,,,,23.995,2.43,2.335,,,9.3809,,,,14.7813,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
