ticker,date,fiscal_year,currency,total_assets,current_assets,cash_and_equiv,total_debt,lt_debt,st_debt,current_liabilities,total_liabilities,total_equity,inventory,net_fixed_assets,long_term_invest
PYPL,2025-12-31,2025,USD,80173000000,59759000000,10422000000,9987000000,9987000000,,46443000000,59917000000,20256000000,,1700000000,4330000000
PYPL,2024-12-31,2024,USD,78725000000,58206000000,10923000000,9879000000,9879000000,,45490000000,58308000000,20417000000,,1508000000,4583000000
PYPL,2023-12-31,2023,USD,82166000000,62569000000,14057000000,9676000000,9676000000,,48466000000,61115000000,21051000000,,1488000000,3273000000
PYPL,2022-12-31,2022,USD,78624000000,57424000000,10851000000,10417000000,10417000000,,45008000000,58350000000,20274000000,,1730000000,5018000000
PYPL,2021-12-31,2021,USD,75803000000,52574000000,9391000000,9048000000,8049000000,999000000.0,43029000000,54076000000,21727000000,,1909000000,6797000000
