ticker,date,fiscal_year,currency,revenue,cogs,gross_profit,operating_income,net_income,eps,diluted_eps,ebit,ebitda,gross_margin,oper_margin,profit_margin,div_per_shr,shares_avg,shares_diluted
ASTS,2025-12-31,2025,USD,70918000.0,35216000.0,35702000.0,-287713000,-341940000,-1.3357939589892112,-1.3357939589892112,-287713000,-236602000,50.34264925688824,-405.69813023491923,-482.1624975323613,,255982592,255982592
ASTS,2024-12-31,2024,USD,4418000.0,,4418000.0,-242762000,-300083000,-1.9422678937990339,-1.9422678937990339,-242762000,-179422000,100.0,-5494.839293798098,-6792.281575373472,,154501344,154501344
ASTS,2023-12-31,2023,USD,,,,-222367000,-87561000,-1.0701123074684504,-1.0701123074684504,-222367000,-167898000,,,,,81824122,81824122
ASTS,2022-12-31,2022,USD,13825000.0,6714000.0,7111000.0,-145764000,-31640000,-0.5812215509823608,-0.5812215509823608,-145764000,-141053000,51.43580470162749,-1054.3508137432189,-228.8607594936709,,54437073,54437073
ASTS,2021-12-31,2021,USD,12405000.0,7563000.0,4842000.0,-86746000,-18973000,-0.3667633567741248,-0.3667633567741248,-86746000,-83833000,39.03264812575574,-699.2825473599355,-152.94639258363563,,51730904,51730904
