ticker,date,fiscal_year,currency,net_income,depr_amort,stock_based_comp,operating_cash_flow,capex,free_cash_flow,fcf_per_share,dividends_paid,investing_cf,financing_cf,stock_buyback,debt_change,net_change_cash
NOW,2025-12-31,2025,USD,1748000000,738000000,1955000000,5444000000,-911000000,4533000000,4.371263259402122,,-1689000000,-2340000000,-1840000000.0,,1415000000
NOW,2024-12-31,2024,USD,1425000000,564000000,1746000000,4267000000,-892000000,3375000000,3.2766990291262137,,-2501000000,-1343000000,-696000000.0,,423000000
NOW,2023-12-31,2023,USD,1731000000,562000000,1604000000,3398000000,-697000000,2701000000,2.6480392156862744,,-2167000000,-803000000,-538000000.0,,428000000
NOW,2022-12-31,2022,USD,325000000,433000000,1401000000,2723000000,-550000000,2173000000,2.162189054726368,,-2583000000,-344000000,,-94000000.0,-204000000
NOW,2021-12-31,2021,USD,230000000,472000000,1131000000,2191000000,-399000000,1792000000,1.8101010101010102,,-1607000000,-506000000,,-61000000.0,78000000
