ticker,date,fiscal_year,currency,total_assets,current_assets,cash_and_equiv,total_debt,lt_debt,st_debt,current_liabilities,total_liabilities,total_equity,inventory,net_fixed_assets,long_term_invest
OLLI,2026-01-31,2026,USD,2954953000,964065000,296308000,685928000,576505000,109423000,400448000,1066877000,1888076000,650260000,1046090000,266455000.0
OLLI,2025-01-31,2025,USD,2561145000,993791000,428669000,564870000,480370000,84500000,304341000,865835000,1695310000,552542000,889698000,
OLLI,2024-01-31,2024,USD,2294594000,871428000,353242000,488749000,398934000,89815000,315551000,786362000,1508232000,505790000,745589000,
OLLI,2023-01-31,2023,USD,2044096000,754296000,270761000,441175000,352109000,89066000,259285000,682027000,1362069000,470534000,612273000,
OLLI,2022-01-31,2022,USD,1972172000,726828000,246977000,430879000,355012000,75867000,263268000,684462000,1287710000,467306000,567732000,
