ticker,date,fiscal_year,currency,net_income,depr_amort,stock_based_comp,operating_cash_flow,capex,free_cash_flow,fcf_per_share,dividends_paid,investing_cf,financing_cf,stock_buyback,debt_change,net_change_cash
PAGS,2025-12-31,2025,BRL,2549424000,1807514000,112098000,7562431000,-2276860000,5285571000,17.90505081300813,-617055000.0,-2299796000,-4332796000,-1330183000,-2325016000,929839000
PAGS,2024-12-31,2024,BRL,2379929000,1600932000,178692000,-3416293000,-2320641000,-5736934000,-18.14911104080987,,-1830089000,3274990000,-784459000,-644163000,-1971392000
PAGS,2023-12-31,2023,BRL,2017107000,1355653000,144617000,3999753000,-1988364000,2011389000,6.250306084576047,,-2703797000,-225993000,-399408000,73415000,1069963000
PAGS,2022-12-31,2022,BRL,1759316000,1130690000,127391000,3548962000,-2136396000,1412566000,4.318317159660169,,-2184530000,-1329697000,-291443000,-981323000,34735000
PAGS,2021-12-31,2021,BRL,1488027000,768593000,370629000,898007000,-1751829000,-853822000,-2.5849049930812735,,-1470949000,727238000,-257992000,996938000,154296000
