ticker,date,fiscal_year,currency,net_income,depr_amort,stock_based_comp,operating_cash_flow,capex,free_cash_flow,fcf_per_share,dividends_paid,investing_cf,financing_cf,stock_buyback,debt_change,net_change_cash
ASTS,2025-12-31,2025,USD,-461011000,51111000,47490000,-71517000,-1121138000,-1192655000,-4.659125414278171,,-1541138000,3827488000,,1602881000,2214833000
ASTS,2024-12-31,2024,USD,-526330000,63340000,32039000,-126143000,-174127000,-300270000,-1.9434782392572585,,-174127000,779967000,,96248000,479697000
ASTS,2023-12-31,2023,USD,-222677000,54469000,13289000,-148942000,-118807000,-267749000,-3.2722502051412174,,-118807000,116732000,,63258000,-151017000
ASTS,2022-12-31,2022,USD,-103113000,4711000,9391000,-156464000,-57284000,-213748000,-3.926515299601064,,-31352000,102340000,,230000,-85476000
ASTS,2021-12-31,2021,USD,-73261000,2913000,3736000,-80095000,-54792000,-134887000,-2.607474247888651,,-54792000,416941000,,49000,282054000
