ticker,date,fiscal_year,currency,revenue,cogs,gross_profit,operating_income,net_income,eps,diluted_eps,ebit,ebitda,gross_margin,oper_margin,profit_margin,div_per_shr,shares_avg,shares_diluted
OSCR,2025-12-31,2025,USD,11701427000,,,,-443151000,-1.68891488940043,-1.68891488940043,,,100,,-3.787153481365991,,262388000,262388000
OSCR,2024-12-31,2024,USD,9177941000,,,,25432000,0.09566188833678763,0.09566188833678763,,,100,,0.2770991881512422,,265853000,265853000
OSCR,2023-12-31,2023,USD,5862869000,,,,-270728000,-1.2213908905925468,-1.2213908905925468,,,100,,-4.617670973033851,,221655493,221655493
OSCR,2022-12-31,2022,USD,4125584000,,,,-606275000,-2.853399687299116,-2.853399687299116,,,100,,-14.695495231705378,,212474615,212474615
OSCR,2021-12-31,2021,USD,1920961000,,,,-572606000,-3.1995050530417175,-3.1995050530417175,,,100,,-29.8083094867621,,178967056,178967056
