ticker,date,fiscal_year,currency,net_income,depr_amort,stock_based_comp,operating_cash_flow,capex,free_cash_flow,fcf_per_share,dividends_paid,investing_cf,financing_cf,stock_buyback,debt_change,net_change_cash
PEP,2025-12-31,2025,USD,8295000000,4178000000,288000000,12087000000,,12087000000,8.839790338573858,-7638000000,-6879000000,-4979000000,-1000000000,3748000000,229000000
PEP,2024-12-31,2024,USD,9626000000,3815000000,362000000,12507000000,,12507000000,9.115962133880773,-7229000000,-5472000000,-7556000000,-1000000000,695000000,-521000000
PEP,2023-12-31,2023,USD,9155000000,3518000000,380000000,13442000000,,13442000000,9.78311499272198,-6682000000,-5495000000,-3009000000,-1000000000,4770000000,4938000000
PEP,2022-12-31,2022,USD,8978000000,3280000000,343000000,10811000000,,10811000000,7.851125635439361,-6172000000,-2430000000,-8523000000,-1500000000,-810000000,-142000000
PEP,2021-12-31,2021,USD,7679000000,3215000000,301000000,11616000000,,11616000000,8.399132321041215,-5815000000,-3269000000,-10780000000,-106000000,-4132000000,-2433000000
