ticker,date,fiscal_year,currency,net_income,depr_amort,stock_based_comp,operating_cash_flow,capex,free_cash_flow,fcf_per_share,dividends_paid,investing_cf,financing_cf,stock_buyback,debt_change,net_change_cash
MNSO,2025-12-31,2025,CNY,1209814000,1251515000,367869000,2577891000,-997651000,1580240000,5.140505786486276,-1357748000,-7019506000,4969234000,-535249000,3244349000,527619000
MNSO,2024-12-31,2024,CNY,2635428000,853904000,85184000,2168334000,-762538000,1405796000,4.532816145858377,-1244251000,-533254000,-1720623000,-313416000,-161993000,-85543000
MNSO,2023-06-30,2023,CNY,1781829000,56974000,62882000,1666030000,-174147000,1491883000,4.790418273367417,-370787000,-293406000,-325956000,-36404000,-346214000,1046668000
MNSO,2022-06-30,2022,CNY,639743000,80265000,82835000,1406262000,-1234207000,172055000,0.5708870903192484,-306255000,-2125918000,-733559000,-85535000,-322312000,-1453215000
