ticker,date,fiscal_year,currency,total_assets,current_assets,cash_and_equiv,total_debt,lt_debt,st_debt,current_liabilities,total_liabilities,total_equity,inventory,net_fixed_assets,long_term_invest
ONON,2025-12-31,2025,CHF,2835400000,1962400000,1078200000,521500000,440300000,81200000,724400000,1203000000,1632400000,419800000,642800000,
ONON,2024-12-31,2024,CHF,2376700000,1759700000,980000000,347600000,288500000,59100000,660400000,984900000,1391800000,419200000,450800000,
ONON,2023-12-31,2023,CHF,1593000000,1151300000,528800000,229000000,190300000,38700000,305600000,518500000,1074500000,356500000,307500000,
ONON,2022-12-31,2022,CHF,1382400000,1051500000,404200000,160400000,138800000,21600000,242700000,412800000,969600000,395600000,229000000,
ONON,2021-12-31,2021,CHF,1236500000,964600000,683100000,180800000,167200000,13600000,205000000,388000000,848500000,134200000,212200000,
