ticker,date,fiscal_year,currency,total_assets,current_assets,cash_and_equiv,total_debt,lt_debt,st_debt,current_liabilities,total_liabilities,total_equity,inventory,net_fixed_assets,long_term_invest
JD,2025-12-31,2025,CNY,695201000000,374421000000,213232000000,107105000000,86181000000,20924000000,306072000000,401418000000,293783000000,95428000000,128980000000,103818000000
JD,2024-12-31,2024,CNY,698234000000,386698000000,233995000000,89768000000,74581000000,15187000000,299521000000,384937000000,313297000000,89326000000,113433000000,116220000000
JD,2023-12-31,2023,CNY,628958000000,307810000000,190146000000,68431000000,55642000000,12789000000,265650000000,332578000000,296380000000,68058000000,100818000000,137586000000
JD,2022-12-31,2022,CNY,595250000000,351074000000,219956000000,65045000000,45211000000,19834000000,266561000000,321127000000,274123000000,77949000000,88508000000,72001000000
JD,2021-12-31,2021,CNY,496507000000,299672000000,185331000000,34140000000,23107000000,11033000000,221636000000,249723000000,246784000000,75601000000,58748000000,82310000000
