ticker,date,fiscal_year,currency,total_assets,current_assets,cash_and_equiv,total_debt,lt_debt,st_debt,current_liabilities,total_liabilities,total_equity,inventory,net_fixed_assets,long_term_invest
ASML,2025-12-31,2025,EUR,50566600000,30616100000,13321900000,4390900000,2709000000,1681900000,24263900000,30954400000,19612200000,11429300000,8234800000,2143300000
ASML,2024-12-31,2024,EUR,48589600000,30737400000,12741300000,4687600000,3677300000,1010300000,20051400000,30112800000,18476800000,10891500000,7234000000,903000000
ASML,2023-12-31,2023,EUR,39957500000,24393900000,7010100000,4631600000,4631500000,100000,16274700000,26505100000,13452400000,8850700000,5799800000,919600000
ASML,2022-12-31,2022,EUR,36300400000,23064900000,7376000000,4260400000,3514200000,746200000,17983600000,27489600000,8810800000,7199700000,4136900000,923600000
ASML,2021-12-31,2021,EUR,30231000000,18190200000,7590300000,4584100000,4075000000,509100000,12298000000,20090400000,10140600000,5179200000,3147500000,892500000
