ticker,date,fiscal_year,currency,total_assets,current_assets,cash_and_equiv,total_debt,lt_debt,st_debt,current_liabilities,total_liabilities,total_equity,inventory,net_fixed_assets,long_term_invest
STNE,2025-12-31,2025,BRL,62296896000,56447056000,7796635000,17582065000,8938306000,8643759000,41204057000,51262125000,11034771000,,1725506000,96200000
STNE,2024-12-31,2024,BRL,54813463000,45965024000,14551410000,12895941000,7926102000,4969839000,33533813000,42986181000,11827282000,,1833997000,108380000
STNE,2023-12-31,2023,BRL,48693561000,37152601000,12055810000,5519212000,3639215000,1879997000,28831133000,34017601000,14675960000,,1661897000,128712000
STNE,2022-12-31,2022,BRL,42245440000,30659203000,8927247000,5551125000,2728470000,2822655000,25174139000,29295416000,12950024000,,1641178000,324519000
STNE,2021-12-31,2021,BRL,42097012000,29944452000,8835156000,8362389000,4488828000,3873561000,22789845000,28469792000,13627220000,,1569520000,1304930000
