ticker,date,fiscal_year,currency,total_assets,current_assets,cash_and_equiv,total_debt,lt_debt,st_debt,current_liabilities,total_liabilities,total_equity,inventory,net_fixed_assets,long_term_invest
MDB,2026-01-31,2026,USD,3758848000,3114855000,2387241000,32859000,23600000,9259000,669496000,806490000,2952358000,,68751000,
MDB,2025-01-31,2025,USD,3430293000,2923522000,2336577000,36500000,27374000,9126000,561987000,648069000,2782224000,,80984000,
MDB,2024-01-31,2024,USD,2869642000,2483636000,2015407000,1183988000,1174191000,9797000,564220000,1800653000,1068989000,,90407000,
MDB,2023-01-31,2023,USD,2588893000,2236584000,1836630000,1184830000,1176144000,8686000,588512000,1849385000,739508000,,99035000,
MDB,2022-01-31,2022,USD,2449588000,2117402000,1825923000,1183312000,1175228000,8084000,526735000,1782888000,666700000,,104370000,
