ticker,date,fiscal_year,currency,revenue,cogs,gross_profit,operating_income,net_income,eps,diluted_eps,ebit,ebitda,gross_margin,oper_margin,profit_margin,div_per_shr,shares_avg,shares_diluted
LULU,2026-01-31,2026,USD,11102600000,4818468000,6284132000,2210615000,1579183000,13.27256452710937,13.262866597238553,2210615000,2706843000,56.6005440167168,19.910786662583536,14.223542233350747,,118981000,119068000
LULU,2025-01-31,2025,USD,10588126000,4317315000,6270811000,2505697000,1814616000,14.665341253485272,14.641675071610118,2505697000,2952221000,59.22493744407651,23.665160388155563,17.13821690448338,,123735000,123935000
LULU,2024-01-31,2024,USD,9619278000,4009873000,5609405000,2207177000,1550190000,12.23261209223048,12.200456477254841,2207177000,2586561000,58.314199880697906,22.945349952460052,16.115450660642097,,126726000,127060000
LULU,2023-01-31,2023,USD,8110518000,3618178000,4492340000,1726141000,854800000,6.69559632165181,6.677238179304311,1726141000,2017932000,55.389063929085665,21.282746675366482,10.539400812623805,,127666000,128017000
LULU,2022-01-31,2022,USD,6256617000,2648052000,3608565000,1374749000,975322000,7.515889895814068,7.485490617445029,1374749000,1598955000,57.675977289324244,21.972721040779707,15.588647986603624,,129768000,130295000
