date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2025-08-22,213.875,222.02,211.31,221.27,8226649,,,,221.27,221.27,221.27,221.27,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,7.39500000000001,0.75,2.5649999999999977,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,221.27,,,,,,218.20000000000002,225.09000000000003,228.91000000000003,235.80000000000004,214.38000000000002,207.49,203.67000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-25,222.48,225.125,220.6,223.39,5028297,,,,221.47190476190477,221.35313725490198,221.3119801980198,221.29109452736319,,0.16911680911681515,0.033823361823363034,0.1352934472934521,1,,0.5,0.05,,,,,,,0.9099999999999966,1.7350000000000136,1.8799999999999955,,0,0.8586307525382602,,,,0,,,0.9581054819903123,,,,0.8660670707452864,,0,25,20,20,,,,,223.39,,,,,,223.03833333333333,225.47666666666666,227.56333333333333,230.00166666666667,220.95166666666665,218.51333333333332,216.42666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-26,224.98,227.3,221.072,222.88,4795574,,,,221.6060090702948,221.41301422529799,221.3430300950887,221.30690453206606,,0.2590047158708444,0.0788596326328593,0.1801450832379851,1,,0.5,0.05,,,,,,,2.0999999999999943,2.3200000000000216,1.8079999999999927,,0,0.5716039706143246,,,,0,,,-0.22830028201799024,,,,0.5748900650528338,,0,25,20,20,,,,,222.88,,,,,,223.75066666666666,226.42933333333332,229.97866666666667,232.65733333333333,220.2013333333333,217.52266666666665,213.9733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-27,224.12,230.1,223.125,229.71,3454365,,,,222.3778177302667,221.73838621646277,221.5087126674632,221.39051742229427,,0.8713213981895649,0.23735198574420044,0.6339694124453644,1,,0.5,0.05,,,,,,,5.590000000000003,0.38999999999998636,0.9950000000000045,,0,3.1919299419848044,,,,0,,,3.0644292893036607,,,,3.2971734072086583,,0,25,20,20,,,,,229.71,,,,,,227.645,232.16500000000002,234.62,239.14000000000001,225.19000000000003,220.67000000000002,218.21500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-28,229.87,232.45,227.18,228.5,3043664,,,,222.96088270833656,222.00354754130737,221.64715400078074,221.46125854247046,,1.2446028854969597,0.43880216569475233,0.8058007198022075,1,,0.5,0.05,,,,,,,1.3700000000000045,2.579999999999984,1.3199999999999932,,0,2.4241213530255776,,,,0,,,-0.5267511209786302,,,,2.484344887936854,,0,25,20,20,,,,,228.5,,,,,,229.37666666666667,231.57333333333332,234.64666666666665,236.8433333333333,226.30333333333334,224.10666666666668,221.03333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-08-29,227.69,230.86,227.69,230.82,3243630,,,,223.70937006944737,222.3492907749816,221.82879451561678,221.55438034801804,,1.7079476076266928,0.6926312540811406,1.0153163535455523,1,,0.5,0.05,,,,,,,3.1299999999999955,0.040000000000020464,0.0,,0,3.0805952389535656,,,,0,,,1.0153172866520732,4.315994034437565,,,3.1785123387300342,,0,25,20,20,,,,,230.82,,,,,,229.79,231.89,232.96,235.06,228.71999999999997,226.61999999999998,225.54999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-02,227.49,229.41,226.35,228.89,3936901,,,,224.2027633961667,222.6057891759627,221.9686203667927,221.62737158833627,,1.8975430724562443,0.9336136177561614,0.963929454700083,0,,0.5,0.05,,,,,,,1.3999999999999773,0.5200000000000102,1.1400000000000148,,0,2.0478118763743716,,,,0,,,-0.8361493804696307,2.462061864899945,,,2.0906239213256006,,0,25,20,20,,,,,228.89,,,,,,228.21666666666667,230.08333333333334,231.27666666666667,233.14333333333335,227.02333333333334,225.15666666666667,223.96333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-03,229.095,235.32,229.095,233.43,3529084,,,,225.081547834627,223.0302680318073,222.19557837933147,221.74481067700955,,2.386627347494141,1.2242163637037573,1.1624109837903835,1,,0.5,0.05,,,,,,,4.335000000000008,1.8899999999999864,0.0,,0,3.576426408504907,,,,0,,,1.9834855170606014,4.73348887293612,,,3.709078885269982,,0,25,20,20,,,,,233.43,,,,,,232.615,236.13500000000002,238.84,242.36,229.91000000000003,226.39000000000001,223.68500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-04,231.95,232.19,227.0,231.13,2226849,,,,225.65759089799587,223.3479045795796,222.3724976193447,221.83819564539752,,2.559139217139318,1.4912009343908696,1.0679382827484485,0,,0.5,0.05,,,,,,,0.8199999999999932,0.2400000000000091,4.1299999999999955,,0,2.367675811017229,,,,0,,,-0.985306087478055,0.6181707370162215,,,2.425094179294778,,0,25,20,20,223.315,,,,231.13,,,,,,230.10666666666665,233.2133333333333,235.29666666666665,238.4033333333333,228.0233333333333,224.91666666666666,222.83333333333331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-05,233.0,237.5,230.0,231.08,3526183,,,,226.17401081247246,223.65112400783138,222.54492340906063,221.93015389768215,,2.6611455056972773,1.725189848652151,0.9359556570451262,0,,0.5,0.05,4101119.6,,0.8598098431462472,,,,1.9199999999999875,4.5,1.0800000000000125,,0,2.1230695808930036,,,,0,,,-0.021632847315355974,1.1291028446389628,,,2.169121540491782,,0,25,20,20,229.05,,,,231.08,,,,,,232.86,235.72000000000003,240.36,243.22000000000003,228.22000000000003,225.36,220.72000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-08,231.62,233.45,229.1025,231.81,3020175,,,,226.71077168747507,223.9710799290929,222.72839027224757,222.0284608240734,,2.768972136268985,1.933946306175518,0.8350258300934672,0,,0.5,0.05,3580472.2,,0.8435130427768717,,,,0.18999999999999773,1.6399999999999864,2.5175000000000125,,0,2.199744753256947,,,,0,,,0.3159079106802798,0.42890564075903637,,,2.2492218938561543,,0,25,20,20,229.286,,,,231.81,,,,,,231.45416666666665,233.8058333333333,235.80166666666665,238.1533333333333,229.45833333333331,227.10666666666665,225.11083333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-09,232.16,233.57,229.66,230.73,1904891,,,,227.09355533628698,224.23613561814807,222.8868379896288,222.11504330343584,,2.73574260596169,2.0943055661327525,0.6414370398289373,0,,0.5,0.05,3268131.6,,0.5828685111701132,,,,1.4300000000000068,1.4099999999999966,1.0699999999999932,,0,1.5760606179140153,,,,0,,,-0.4658987964281103,0.8038795928175135,,,1.6012980457891246,,0,25,20,20,230.3125,,,,230.73,,,,,,231.32000000000002,232.98000000000005,235.23000000000002,236.89000000000004,229.07000000000005,227.41000000000003,225.16000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-10,231.15,231.7899,223.77,226.48,2863659,,,,227.03512149473585,224.32413029978932,222.95798971260643,222.15847570837678,,2.339500180724201,2.1433444890510422,0.19615569167315883,0,,0.5,0.05,3074940.1,,0.9312893607260837,,,,4.670000000000016,0.639899999999983,2.7099999999999795,,0,-0.2451083957682168,,,,0,,,-1.841979803233218,-2.9773379599880134,,,-0.2445090834762007,,0,25,20,20,230.635,,,,226.48,,,,,,227.34663333333333,230.92326666666665,235.3665333333333,238.94316666666663,222.90336666666667,219.32673333333335,214.8834666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-11,226.825,228.57,224.605,226.67,2272454,,,,227.00034801904673,224.41612518999366,223.03149486681224,222.20336649734816,59.62223806129718,2.017549560601111,2.118185503361056,-0.10063594275994481,0,5.8711,0.5,0.05,2956749.0,,0.7685650692703371,,58.64833906071015,,0.15500000000000114,1.7450000000000045,2.0649999999999977,,0,-0.14573962987900396,,,,0,,,0.0838926174496546,-1.9296499805304457,,,-0.1455275385829012,,0,25,20,20,230.635,,,,226.67,,,,,,226.61499999999998,228.62499999999997,230.57999999999998,232.58999999999997,224.65999999999997,222.64999999999998,220.69499999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-12,226.17,227.36,222.11,223.39,2683342,,,,226.65650535056608,224.37588498646448,223.0385939783605,222.215173795882,53.382259093809786,1.4806646068226144,1.9906813240533678,-0.5100167172307535,0,5.4811,0.5,0.05,2920716.8,,0.9187272110736653,,16.508875739644918,,2.780000000000001,1.1900000000000261,1.2799999999999727,,0,-1.4622433191128037,,,,0,,,-1.4470375435655325,-3.327851826207384,,,-1.4411699084100142,,0,25,20,20,229.805,,,,223.39,,,,,,224.28666666666666,226.4633333333333,229.53666666666666,231.7133333333333,221.2133333333333,219.03666666666666,215.9633333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-15,222.71,224.91,220.43,222.75,2404500,,,,226.28445722194076,224.31212479091687,223.03287924611573,222.22049544965435,48.92833221701275,0.9921004452374689,1.7909651482901883,-0.7988647030527194,0,5.477885714285713,0.5,0.05,2836803.8,,0.8476088476756836,,13.591095489162239,29.58277009650577,0.03999999999999204,2.1599999999999966,2.280000000000001,,0,-1.5867372489071854,,,,0,,,-0.28649447155199015,-3.908373236702478,,,-1.5619531563646656,,0,25,20,20,228.965,,,,222.75,,,,,,222.6966666666667,224.96333333333337,227.17666666666668,229.44333333333336,220.48333333333338,218.2166666666667,216.0033333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-16,222.75,224.41,218.0,219.01,3105130,,,,225.59165177223213,224.10419832852799,222.95321827094511,222.1885502212996,44.1523118766999,0.29966868963390425,1.4927058565589315,-1.1930371669250273,0,5.490885714285712,0.5,0.05,2753626.7,,1.1276510356323897,,5.179487179487133,11.759819469431429,3.740000000000009,1.6599999999999966,1.009999999999991,,0,-3.005183220963488,,,,0,,,-1.6790123456790207,-5.07953018679842,,,-2.9175067962520522,,0,25,20,20,227.75,,,,219.01,,,,,,220.47333333333333,222.94666666666666,226.88333333333333,229.35666666666665,216.53666666666666,214.06333333333333,210.12666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2025-09-17,235.39,240.63,231.94,234.88,11662904,,,,226.47625636535287,224.5267787862328,223.18939216656997,222.31483330367473,56.13577023498693,1.0197330555896542,1.3981112963650761,-0.3783782407754219,1,6.519457142857141,0.5,0.05,3567008.7,,3.269659532930211,,74.59125055236412,31.12061107367116,0.5099999999999909,5.240000000000009,2.9399999999999977,,0,3.5778881278300103,,,,0,,,7.246244463723128,3.7089367714588484,,,3.7106510720003065,,0,25,20,20,229.315,,,,234.88,,,,,,235.8166666666667,239.69333333333338,244.5066666666667,248.38333333333338,231.0033333333334,227.1266666666667,222.3133333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
