Ticker,Name,Sector,Industry,Strategy,Active,Currency,FX_to_USD,verify_fx_handling,Price,Price_USD,EMA_20,EMA_50,EMA_200,RSI_14,ATR_14,Dist_EMA_20_pct,Risk_Score,Date,Market_Cap_B_USD,EV_B,Revenue_B,Net_Income_B,EBITDA_B,FCF_B,ROE_pct,ROA_pct,ROIC_pct,PE,PB,EV_EBITDA,EV_Sales,DE,Current_Ratio,FCF_Yield_pct
HSY,The Hershey Company,Consumer non-durables,Food: specialty/candy,Especulativa,TRUE,USD,1.0,false,186.27499,186.27,182.5704475770531,181.7024880944212,187.4887453665741,66.15353251228365,3.5896428571428607,1.9887492265853297,25.0,2026-08-21,37.88,42.7,11.69,0.88,1.97,2.2,19.05,6.43,15.47,42.79,8.17,21.72,3.65,1.24,1.19,5.82
INTU,Intuit Inc.,Technology services,Packaged software,,TRUE,USD,1.0,false,361.465,361.46,334.83148936794544,323.11060215892223,419.9480693688817,71.95710018452627,12.560715714285712,7.368212864884439,27.0,2026-08-21,102.29,104.38,18.83,3.87,5.75,6.12,19.63,10.47,22.65,26.16,5.19,18.16,5.54,0.34,1.36,5.99
IREN,IREN Limited,Technology services,Data processing services,Especulativa,TRUE,USD,1.0,false,41.425,41.42,41.37279789794864,43.22579096285298,43.32338107373159,53.48804278110501,3.2580500000000003,0.1260159373599359,25.0,2026-08-21,10.69,11.09,0.5,0.09,0.2,-1.13,4.78,2.96,1.0,122.98,5.88,54.57,22.14,0.53,4.29,-10.54
JD,JD,Retail trade,Internet retail,Especulativa,TRUE,CNY,0.14,true,29.345,4.107600000000001,30.246615610720205,29.941083559901315,30.02677241450673,24.461431549687266,0.7556428571428582,-3.0724675778504227,27.0,2026-08-21,6.12,-62.43,1309.09,19.63,13.44,4.81,6.68,2.82,1.97,2.13,0.15,-4.65,-0.05,0.36,1.22,11.0
KER.PA,Kering SA,Consumer non-durables,Consumer sundries,,TRUE,EUR,1.1,true,251.4,276.54,265.4186228927501,262.43122134306714,260.59117316783374,22.09653092006036,7.880000714285712,-5.576222312151978,27.0,2026-08-21,33.94,44.59,14.68,0.07,1.63,2.27,0.46,0.17,5.58,428.1,1.99,27.34,3.04,1.17,1.99,7.36
LULU,lululemon athletica inc.,Consumer non-durables,Apparel/Footwear,,TRUE,USD,1.0,false,118.6,118.6,119.84402715691476,121.36176300572856,153.40209824384317,41.148743016759774,3.785028571428571,-1.0489267764880004,25.0,2026-08-21,14.12,14.11,11.1,1.58,2.71,0.92,31.83,18.67,44.63,8.94,2.85,5.21,1.27,0.36,2.26,6.53
LW,"Lamb Weston Holdings, Inc.",Consumer non-durables,Food: specialty/candy,Especulativa,TRUE,USD,1.0,false,54.37,54.37,52.28012549459281,49.60302102277601,48.69687352594826,57.78781038374715,1.3142857142857147,3.843800819214987,25.0,2026-08-21,7.56,11.44,6.61,0.29,1.09,0.54,15.89,3.93,12.2,26.04,4.14,10.48,1.73,2.16,1.42,7.14
MA,Mastercard Incorporated,Finance,Finance/Rental/Leasing,,TRUE,USD,1.0,false,575.485,575.49,563.9588466876155,545.0788172715698,531.2373622414004,53.63731571739305,9.327978571428575,2.0028590340989787,25.0,2026-08-21,521.39,529.49,32.79,14.97,20.66,17.16,193.24,27.64,123.13,34.8,67.31,25.63,16.15,2.45,1.03,3.29
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,Consumer non-durables,Apparel/Footwear,,TRUE,EUR,1.1,true,446.55,491.20500000000004,465.05436613625193,474.6914457946253,505.5725761891802,12.879471160798914,8.817858571428571,-4.143850887079144,28.75,2026-08-21,244.61,245.6,80.81,10.88,17.67,14.21,15.78,7.66,19.17,20.43,3.23,13.9,3.04,0.53,1.58,6.39
MDB,"MongoDB, Inc.",Technology services,Packaged software,Especulativa,TRUE,USD,1.0,false,425.8946,425.89,403.7689688282178,368.3025022593904,328.97813820082786,68.4544018048878,21.14749285714285,5.195095493528735,25.0,2026-08-21,34.6,32.25,2.46,-0.07,-0.1,0.5,-2.41,-1.89,-22.91,-486.32,11.72,-323.92,13.09,0.01,4.65,1.45
MDLZ,"Mondelez International, Inc.",Consumer non-durables,Food: specialty/candy,,TRUE,USD,1.0,false,64.07,64.07,62.62351304839087,61.69421108551547,60.55855568754373,65.03856041131101,1.178492857142859,2.257666539112103,25.0,2026-08-21,83.16,102.84,38.54,2.45,4.98,4.51,9.47,3.43,7.94,33.82,3.21,20.66,2.67,0.84,0.59,5.43
MELI,"MercadoLibre, Inc.",Retail trade,Internet retail,Core,TRUE,USD,1.0,false,1945.9525,1945.95,1856.1443890312971,1812.807522117267,1872.494741118012,53.76768003578948,73.721,4.615123491899353,25.0,2026-08-21,98.65,104.53,28.89,2.0,4.02,10.77,29.59,4.68,25.35,49.4,14.62,26.01,3.62,1.69,1.17,10.92
META,"Meta Platforms, Inc.",Technology services,Internet software/Services,Core,TRUE,USD,1.0,false,552.06,552.06,577.1031119216186,592.2679342246457,621.9093913946732,34.10888204445179,17.077002142857143,-4.536302561609006,25.0,2026-08-21,1421.0,1423.31,200.97,60.46,101.89,46.11,27.83,16.52,37.93,23.02,6.54,13.97,7.08,0.39,2.6,3.24
MMM,3M Company,Producer manufacturing,Industrial conglomerates,,TRUE,USD,1.0,false,179.26,179.26,178.5647273936655,170.94468333384037,160.05741149261615,55.02226620484908,3.380715000000001,0.387857082636672,25.0,2026-08-21,97.03,103.7,24.95,3.25,6.1,1.4,68.46,8.61,41.97,29.64,20.44,17.0,4.16,2.65,1.71,1.44
MNDY,monday.com Ltd.,Technology services,Packaged software,,TRUE,USD,1.0,false,90.8,90.8,87.63941025637448,83.92129614021029,107.4951931714819,51.82099961255327,6.205714285714286,3.4808257088386805,25.0,2026-08-21,4.82,3.32,1.23,0.12,0.01,0.31,9.52,5.64,0.7,39.34,3.87,275.66,2.7,0.14,2.5,6.5
