Ticker,Date,Close,Volume,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Stoch_K,Stoch_D,BB_Upper,BB_Lower,BB_Mid,BB_Width,ATR_14,Vol_SMA_20,Vol_Ratio,Ret_1D,Ret_5D,Ret_20D,High_20D,Low_20D,High_52W,Low_52W,Dist_SMA_20_Pct,Dist_SMA_50_Pct,Dist_SMA_200_Pct
,2026-08-18,31.03,9630736,33.99,35.42,36.53,40.18,33.63,35.13,36.06,29.75,-1.4908,-0.8358,-0.655,10.27,15.75,41.16,29.67,35.42,11.49,1.81,8407744.0,1.15,-0.89,0.39,-17.58,39.05,30.11,,,-12.39,-15.05,-22.76
,2026-08-18,142.79,19062861,148.09,137.68,151.08,175.59,145.05,143.79,150.09,67.46,1.253,-0.9711,2.2241,56.29,69.53,163.72,111.65,137.68,52.06,7.09,30815297.0,0.62,-2.63,-1.85,17.64,159.26,114.5,,,3.71,-5.48,-18.68
,2026-08-18,31.28,4295022,29.62,29.84,29.59,19.45,30.29,29.82,28.44,49.54,0.4732,0.2679,0.2054,74.81,82.19,33.14,26.55,29.84,6.59,1.8,5715033.0,0.75,-0.86,11.83,5.68,33.27,25.37,,,4.82,5.71,60.83
,2026-08-18,59.8,7928547,57.69,56.91,54.57,51.1,57.77,56.52,55.81,69.1,1.2497,0.9615,0.2881,94.53,88.56,60.4,53.43,56.91,6.96,1.71,8321431.0,0.95,1.29,1.25,8.35,60.16,53.66,,,5.07,9.59,17.02
,2026-08-18,8.44,2684773,8.92,9.24,9.06,9.84,8.92,9.08,9.19,18.03,-0.1593,-0.0494,-0.1099,1.05,9.32,10.05,8.43,9.24,1.62,0.31,2753977.0,0.97,-2.54,-5.06,-9.15,9.85,8.43,,,-8.61,-6.86,-14.23
,2026-08-18,15.58,93957522,15.37,13.68,12.14,12.74,15.01,13.81,12.82,73.97,1.1971,1.0131,0.1839,75.97,82.12,17.71,9.65,13.68,8.05,0.9,72240952.0,1.3,-2.56,-0.89,28.12,16.82,10.16,,,13.9,28.37,22.26
,2026-08-18,27.25,34642903,26.65,25.8,25.24,25.94,26.43,25.86,25.63,73.92,0.569,0.4242,0.1448,94.9,89.2,27.66,23.94,25.8,3.72,0.59,39208198.0,0.88,1.41,2.37,10.1,27.4,24.44,,,5.61,7.98,5.06
,2026-08-18,210.47,2920486,206.09,188.51,171.88,199.26,201.22,188.84,180.61,84.59,12.3784,10.8945,1.4839,89.25,86.26,232.35,144.66,188.51,87.69,6.09,3305590.0,0.88,1.27,0.38,32.91,214.39,144.97,,,11.65,22.45,5.63
,2026-08-18,116.26,4318310,119.47,112.64,102.91,108.24,117.65,112.42,106.41,58.94,5.2336,5.0983,0.1353,44.32,55.87,130.27,95.0,112.64,35.26,4.82,5058415.0,0.85,-2.67,-11.6,10.0,131.94,97.59,,,3.22,12.97,7.41
,2026-08-18,70.99,1020104,72.54,66.62,60.7,80.78,70.61,66.83,65.79,65.85,3.774,3.3043,0.4697,68.01,85.24,80.12,53.13,66.62,26.98,3.08,2015623.0,0.51,-4.31,-1.09,24.61,75.44,54.29,,,6.55,16.96,-12.11
,2026-08-18,8.64,30300396,9.44,9.05,9.41,14.64,9.23,9.22,9.62,53.96,0.0046,-0.0323,0.0369,36.25,54.73,10.15,7.94,9.05,2.21,0.68,31077449.0,0.97,-5.98,-12.64,8.54,10.14,7.79,,,-4.51,-8.14,-40.98
,2026-08-18,74.47,866741,72.68,70.48,73.13,74.15,72.38,71.98,73.58,73.99,0.3963,-0.4769,0.8732,92.51,96.19,75.64,65.33,70.48,10.31,2.17,866864.0,1.0,-0.84,3.12,10.02,75.15,65.66,,,5.66,1.83,0.43
,2026-08-18,152.48,5764812,151.63,146.75,138.38,117.53,150.46,145.76,140.2,68.94,4.7049,4.5781,0.1268,74.12,76.09,159.49,134.01,146.75,25.48,3.58,3704816.0,1.56,0.97,0.12,9.23,156.47,132.55,,,3.91,10.19,29.74
,2026-08-18,413.41,14009953,422.31,415.51,425.66,364.34,420.72,419.92,418.22,64.26,0.8085,-0.9267,1.7352,53.28,75.44,437.46,393.56,415.51,43.91,12.58,12218701.0,1.15,-4.07,-2.05,2.76,436.04,381.3,,,-0.51,-2.88,13.47
,2026-08-18,74.66,15878378,74.71,72.35,72.38,77.51,74.38,73.36,73.02,59.23,1.0254,0.6367,0.3887,64.68,69.89,79.34,65.37,72.35,13.97,2.61,21047971.0,0.75,-0.44,-4.94,3.45,78.99,65.41,,,3.19,3.15,-3.67
,2026-08-18,393.93,3603443,403.07,412.4,414.64,346.95,404.25,409.53,405.46,24.57,-5.282,-2.8159,-2.4661,6.97,10.99,436.31,388.49,412.4,47.83,9.85,4343527.0,0.83,-0.43,-2.05,-6.55,437.0,391.42,,,-4.48,-5.0,13.54
,2026-08-18,242.75,1521887,235.2,215.54,191.94,200.74,231.32,215.78,201.29,79.62,15.5363,13.455,2.0813,81.11,79.78,261.5,169.57,215.54,91.93,8.66,1669560.0,0.91,1.85,2.61,22.97,253.48,179.25,,,12.63,26.47,20.93
,2026-08-18,241.39,596992,245.93,238.47,229.6,201.55,242.15,237.0,228.46,55.38,5.1478,6.0386,-0.8908,48.81,47.82,259.36,217.58,238.47,41.78,6.74,864040.0,0.69,0.4,-3.67,8.08,254.89,215.78,,,1.22,5.13,19.77
,2026-08-18,73.96,4026364,74.46,75.25,76.22,106.58,74.61,75.39,78.38,42.54,-0.7781,-0.6821,-0.096,32.28,26.87,78.23,72.26,75.25,5.97,3.25,6862741.0,0.59,1.36,-1.84,-2.94,80.17,71.0,,,-1.71,-2.97,-30.61
,2026-08-18,25.83,327594,26.64,27.37,27.64,23.82,26.73,27.23,27.25,16.3,-0.5016,-0.2932,-0.2084,11.64,7.66,29.3,25.44,27.37,3.85,0.95,543337.0,0.6,0.78,-3.11,-9.81,29.61,25.46,,,-5.62,-6.53,8.42
,2026-08-18,8.52,7427883,8.91,8.52,9.02,9.86,8.78,8.75,8.95,62.01,0.0264,-0.0459,0.0723,54.4,74.39,9.63,7.41,8.52,2.22,0.49,8484310.0,0.88,-5.86,-4.8,7.58,9.35,7.3,,,0.04,-5.5,-13.59
,2026-08-18,8.96,45342649,9.79,10.86,12.26,11.25,9.99,10.87,11.54,27.72,-0.8807,-0.7438,-0.1369,1.58,10.29,13.34,8.39,10.86,4.95,0.78,45521534.0,1.0,-7.77,-7.44,-23.22,13.16,8.91,,,-17.53,-26.93,-20.35
,2026-08-18,18.91,16471169,20.04,21.01,23.0,18.5,20.08,20.98,21.7,39.17,-0.8957,-0.8182,-0.0775,8.45,16.09,23.77,18.24,21.01,5.54,2.07,22959998.0,0.72,-5.64,-6.57,-4.97,25.17,18.45,,,-9.97,-17.8,2.22
