Ticker,ROIC_Symbol,Sector,Industry,Name,Strategy,Active
TEAM,NASDAQ:TEAM,Technology services,Packaged software,Atlassian Corporation,Core,True
TEP.PA,EURONEXT:TEP,Commercial services,Miscellaneous commercial services,Teleperformance SE,Core,True
TGT,NYSE:TGT,Retail trade,Specialty stores,Target Corporation,Core,True
TLT,NASDAQ:TLT,Finance,Bond ETF,,Core,True
TM,NYSE:TM,Consumer durables,Motor vehicles,Toyota Motor Corp.,Core,True
TSLA,NASDAQ:TSLA,Consumer durables,Motor vehicles,"Tesla, Inc.",Core,True
TSM,NYSE:TSM,Electronic technology,Semiconductors,"Taiwan Semiconductor Manufacturing Co., Ltd.",Core,True
TTD,NASDAQ:TTD,Technology services,Packaged software,"The Trade Desk, Inc.",Core,True
UBER,NYSE:UBER,Transportation,Other transportation,"Uber Technologies, Inc.",Core,True
ULTA,NASDAQ:ULTA,Retail trade,Specialty stores,"Ulta Beauty, Inc.",Core,True
UNH,NYSE:UNH,Health services,Managed health care,UnitedHealth Group Incorporated,Core,True
VEEV,NASDAQ:VEEV,Health technology,Software,,Core,True
VXX,NYSE:VXX,Finance,ETF,,Core,True
WDAY,NASDAQ:WDAY,Technology services,Information technology services,"Workday, Inc.",Core,True
WELL,NYSE:WELL,Finance,Real estate investment trusts,,Core,True
WIX,NASDAQ:WIX,Technology services,Packaged software,Wix.com Ltd.,Core,True
WMT,NYSE:WMT,Retail trade,Discount stores,,Core,True
WSM,NYSE:WSM,Retail trade,Specialty stores,"Williams-Sonoma, Inc.",Core,True
XLE,NYSE:XLE,Energy minerals,ETF,,Core,True
XLF,NYSE:XLF,Finance,ETF,,Core,True
XLU,NYSE:XLU,Utilities,ETF,,Core,True
XLV,NYSE:XLV,Health technology,ETF,,Core,True
XOM,NYSE:XOM,Energy minerals,Integrated oil,ExxonMobil Holdings Corporation,Core,True
XP,NASDAQ:XP,Finance,Investment banks/Brokers,XP Inc.,Core,True
ZTS,NYSE:ZTS,Health technology,Pharmaceuticals: major,Zoetis Inc.,Core,True
AAPL,NASDAQ:AAPL,Technology,Consumer Electronics,Apple Inc.,Core,True
GOOGL,NASDAQ:GOOGL,Technology,Internet media,Alphabet Inc. Class A,Core,True
