Ticker,Asset_Type,Snapshot_Date,Price,Price_Date,Volume,RSI_14,MACD,MACD_Signal,MACD_Hist,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,ATR_14,BB_PctB,BB_Width,VolRel10,VolRel20,Stoch_K,Stoch_D,Position_52w_Pct,RS_vs_SPY,Distance_to_EMA_20_pct,Distance_to_SMA_200_pct,TP_Dinamico,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,Currency,FX_Rate,Revenue,Net_Income,EPS_Raw,EPS_Local,EBITDA,Total_Assets,Total_Equity,Total_Debt,Cash,Operating_Income,Pretax_Income,Tax_Expense,Avg_Shares,Gross_Margin,Oper_Margin,Profit_Margin,EBITDA_Margin,Fiscal_Year,Period_End,Income_Currency,FX_Applied,Calc_roe,Calc_roa,Calc_roic,Calc_pe_ttm,Calc_pe_forward_est,Calc_pb,Calc_ev_ebitda,Calc_ev_sales,Calc_debt_equity,Calc_current_ratio,Calc_working_capital,Anomalies
XLV,etf,2026-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNB,stock,2026-08-21,185.0,2026-08-20,5595905.0,76.7369,10.173,8.4099,1.7631,165.8947,,,170.5109,159.3017,153.8571,150.7305,6.992,0.7635,0.4371,0.8298,1.0584,89.6424,90.8843,92.1466,,8.4975,,203.6891,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,USD,1.0,13159000000.0,2691000000.0,4.475675675675675,4.475675675675675,2738000000.0,22208000000.0,8199000000.0,2067000000.0,11014000000.0,2738000000.0,3363000000.0,672000000.0,601250000.0,82.90143627935254,20.80705220761456,20.44988220989437,20.80705220761456,2026.0,2026-06-30,USD,False,0.3282107574094401,0.1211725504322766,-2.928995310718562,41.33454106280194,38.69505017398454,13.57,37.36,7.77,0.2521039151115989,1.3771704886804894,5148000000.0,
ADBE,stock,2026-08-21,272.22,2026-08-20,2629960.0,63.0396,10.6739,10.6542,0.0197,255.396,,,256.1321,239.7991,228.4838,220.7142,10.8943,0.7674,0.2463,0.6182,0.5528,88.2007,82.2251,94.7921,,6.2811,,291.8878,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,1.0,25198000000.0,7229000000.0,17.50363196125908,17.50363196125908,9849000000.0,29496000000.0,11623000000.0,6648000000.0,6595000000.0,9090000000.0,9111000000.0,1882000000.0,413000000.0,89.40392094610684,36.07429161044527,28.6887848241924,39.08643543138344,2026.0,2026-05-31,USD,False,0.6219564656284953,0.2450840791971792,0.6177062207423957,15.55220085765666,11.051747446950351,9.67,11.42,4.46,0.5719693710745934,0.9963725490196078,-37000000.0,
AMD,stock,2026-08-21,469.455,2026-08-20,15148330.0,48.3407,-10.7888,-10.7686,-0.0202,489.0568,,,491.898,509.2964,521.6873,530.2152,24.8647,0.2688,0.1734,0.7396,0.5654,18.9162,24.2171,20.6056,,-4.5625,,534.047,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,41305000000.0,6434000000.0,3.947844761466482,3.947844761466482,9515000000.0,76926000000.0,62999000000.0,3847000000.0,10552000000.0,6488000000.0,7544000000.0,1098000000.0,1629750000.0,53.204212565064765,15.707541459871685,15.576806681999756,23.03595206391478,2026.0,2026-06-30,USD,False,0.1021286052159558,0.0836388217247744,0.0984775768753206,118.91425027199251,30.51176998390684,12.14,79.7,18.36,0.0610644613406562,2.850026441036489,17492000000.0,
AMZN,stock,2026-08-21,260.11,2026-08-20,28302264.0,40.5659,4.1171,5.5147,-1.3976,260.403,,,261.2727,254.0166,249.0623,245.7521,7.2139,0.4958,0.27,0.854,0.5905,8.076,28.7218,54.1624,,-0.445,,286.0373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,,,0.0,0.0,,818042000000.0,411065000000.0,152987000000.0,123029000000.0,,,21416000000.0,10723750000.0,,,,,2026.0,2026-06-30,USD,False,0.0,0.0,0.0,,,6.79,,,0.3721722841886319,1.0508153482718283,11078000000.0,eps_negative (loss)
ASML,stock,2026-08-21,1750.31,2026-08-20,824915.0,62.7178,8.9831,1.5186,7.4644,1738.989,,,1769.1586,1779.4375,1800.0392,1817.8076,61.8384,0.5346,0.1883,0.6718,0.5491,53.5422,59.2779,50.5187,,-1.0654,,1877.5014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,EUR,1.1,38860250000.0,11702240000.0,30.21083238944867,27.46439308131697,14632860000.0,55623260000.0,21573420000.0,4829990000.0,14654090000.0,13764740000.0,13876390000.0,2438810000.0,387352452.0,52.73313990517303,35.42113084707381,30.11365083858184,37.655084565848135,2026.0,2026-06-30,EUR,False,0.5424378703052182,0.2103839293130247,0.9656348422501432,57.93650361687178,40.41168034635507,31.43,45.66,17.19,0.2238861524969151,1.26179633117512,6987420000.0,currency=EUR verify_fx_handling
ASTS,stock,2026-08-21,65.06,2026-08-20,8270697.0,58.1808,-0.5358,-0.946,0.4102,65.8025,,,68.0084,71.7896,76.5909,80.5572,5.0982,0.4684,0.3574,0.783,0.7175,48.1903,54.9104,30.4794,,-4.3353,,72.1316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,84935000.0,-487246000.0,-1.7886219148957676,-1.7886219148957676,-316394000.0,5014387000.0,2392325000.0,2239510000.0,2335683000.0,-374162000.0,-642065000.0,4899000.0,272414196.0,,-440.5274621769588,-573.6692765055631,-372.51309825160416,2026.0,2026-03-31,USD,False,-0.2036704879144765,-0.0971696041809297,-0.1641950888835072,,,7.41,,207.54,0.9361228094008966,16.352578087585805,2308168000.0,eps_negative (loss)
BIDU,stock,2026-08-21,91.97,2026-08-20,4327611.0,16.6551,-4.5013,-2.8809,-1.6204,105.289,,,103.9384,109.2534,112.6571,114.993,3.5349,-0.0168,0.2448,1.0484,1.4271,9.5384,9.2701,7.8269,,-11.5149,,102.4785,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,USD,1.0,18278498950.0,198619785.0,0.5844444253369321,0.5844444253369321,-987482911.0,64233189372.0,41433229414.0,13882818980.0,16484140377.0,1286872641.0,233302163.0,89900808.0,339843750.0,42.06653179867373,7.040362803133675,1.0866307223328031,-5.402428908824618,2026.0,2026-03-31,USD,True,0.0047937316975397,0.0030921675712532,0.0203695449734156,157.36312301546775,,0.75,,1.57,0.3350648543796552,1.7603790195533315,9387352343.906414,
BKNG,stock,2026-08-21,209.87,2026-08-20,3852818.0,68.8179,7.1217,7.118,0.0037,201.8815,,,203.0993,193.8278,188.8339,185.8901,7.1049,0.6588,0.2492,0.8253,0.6574,74.856,77.5322,85.7948,,3.3337,,223.1907,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,USD,1.0,28241000000.0,7209000000.0,9.096601708215363,9.096601708215363,9999000000.0,29264000000.0,-5578000000.0,19293000000.0,17203000000.0,9741000000.0,9291000000.0,2082000000.0,792493750.0,,34.49240465989165,25.526716476045465,35.405970043553694,2026.0,2026-06-30,USD,False,-1.2923987092147724,0.2463436303991252,-2.166903806732173,23.0712530604106,17.748165541486458,,16.84,5.96,-3.458766583004661,1.3333333333333333,5566000000.0,roe=-1.29 out_of_range (buyback_distortion?)
CAKE,stock,2026-08-21,106.53,2026-08-20,1751916.0,57.835,5.976,6.8543,-0.8783,103.646,,,103.5261,94.1866,88.1827,84.2886,4.1525,0.574,0.3762,0.9316,0.9508,29.6161,32.8984,72.1717,,2.9015,,121.4639,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,USD,1.0,3877250000.0,178616000.0,3.832118471795367,3.832118471795367,317333000.0,3261672000.0,436427000.0,2129835000.0,215729000.0,270753000.0,196437000.0,17821000.0,46610250.0,43.55060932361855,6.983119479012187,4.606770262428268,8.184486427235798,2026.0,2026-06-30,USD,False,0.409268904077887,0.0547620974763863,0.1047379311154788,27.79924493046536,23.799350244723943,11.38,21.68,1.77,4.880163234630305,0.5853559344719702,-322183000.0,
